dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.273434,9.452957,0.000798,0.079783,3.989170,199.458495,6.172503
0.020000,0.273445,9.452956,0.000809,0.000545,-3.961939,-397.555457,6.172513
0.020000,0.275743,9.452700,0.003121,0.115606,5.753048,485.749371,6.172535
0.020000,0.288475,9.451286,0.015931,0.640497,26.244559,1024.575531,6.172576
0.020000,0.308370,9.449077,0.035948,1.000862,18.018274,-411.314215,6.172641
0.020000,0.336227,9.445986,0.063976,1.401384,20.026077,100.390145,6.172735
0.020000,0.372049,9.442016,0.100017,1.802082,20.034901,0.441185,6.172861
0.020000,0.415842,9.437168,0.144077,2.203007,20.046250,0.567446,6.173024
0.020000,0.467611,9.431447,0.196162,2.604209,20.060131,0.694057,6.173229
0.020000,0.527363,9.424858,0.256276,3.005740,20.076537,0.820301,6.173481
0.020000,0.595108,9.417407,0.324429,3.407649,20.095461,0.946203,6.173787
0.020000,0.670853,9.409101,0.400629,3.809988,20.116932,1.073543,6.174156
0.020000,0.754611,9.399951,0.484885,4.212807,20.140939,1.200353,6.174596
0.020000,0.846393,9.389969,0.577208,4.616156,20.167482,1.327147,6.175116
0.020000,0.946212,9.379170,0.677610,5.020088,20.196567,1.454223,6.175727
0.020000,1.054084,9.367572,0.786103,5.424652,20.228219,1.582631,6.176441
0.020000,1.170023,9.355197,0.902701,5.829901,20.262433,1.710713,6.177270
0.020000,1.294048,9.342071,1.027419,6.235885,20.299218,1.839235,6.178228
0.020000,1.426178,9.328224,1.160272,6.642657,20.338583,1.968255,6.179328
0.020000,1.566432,9.313693,1.301277,7.050268,20.380540,2.097831,6.180587
0.020000,1.714834,9.298520,1.450453,7.458770,20.425100,2.228018,6.182020
0.020000,1.871407,9.282753,1.607817,7.868216,20.472334,2.361692,6.183644
0.020000,2.036175,9.266448,1.773390,8.278659,20.522117,2.489149,6.185478
0.020000,2.209166,9.249670,1.947193,8.690152,20.574659,2.627095,6.187541
0.020000,2.390409,9.232491,2.129248,9.102747,20.629764,2.755256,6.189852
0.020000,2.579933,9.214994,2.319578,9.516499,20.687598,2.891692,6.192433
0.020000,2.777770,9.197274,2.518208,9.931461,20.748109,3.025548,6.195305
0.020000,2.983954,9.179435,2.725161,10.347687,20.811296,3.159349,6.198493
0.020000,3.198518,9.161597,2.940466,10.765230,20.877149,3.292673,6.202019
0.020000,3.421499,9.143891,3.164149,11.184143,20.945648,3.424948,6.205909
0.020000,3.652933,9.126464,3.396238,11.604478,21.016763,3.555716,6.210188
0.020000,3.892045,9.109535,3.635948,11.985496,19.050867,-98.294756,6.214867
0.020000,4.137237,9.093376,3.881672,12.286191,15.034782,-200.804273,6.219936
0.020000,4.386902,9.078240,4.131796,12.506180,10.999453,-201.766464,6.225378
0.020000,4.639422,9.064354,4.384697,12.645054,6.943693,-202.787986,6.231170
0.020000,4.893096,9.051918,4.638676,12.698946,2.694607,-212.454290,6.237277
0.020000,5.146213,9.041092,4.892024,12.667407,-1.576986,-213.579681,6.243658
0.020000,5.397116,9.031994,5.143093,12.553436,-5.698549,-206.078142,6.250264
0.020000,5.644141,9.024691,5.390225,12.356611,-9.841258,-207.135453,6.257040
0.020000,5.885609,9.019202,5.631755,12.076525,-14.004259,-208.150041,6.263922
0.020000,6.119905,9.015494,5.866081,11.716263,-18.013127,-200.443387,6.270843
0.020000,6.346232,9.013479,6.092416,11.316793,-19.973511,-98.019222,6.277753
0.020000,6.564548,9.013040,6.310734,10.915870,-20.046121,-3.630488,0.001442
0.020000,6.774817,9.014056,6.521005,10.513553,-20.115874,-3.487668,0.008254
0.020000,6.977001,9.016402,6.723203,10.109897,-20.182794,-3.345989,0.014980
0.020000,7.171068,9.019949,6.917302,9.704962,-20.246762,-3.198385,0.021597
0.020000,7.356987,9.024566,7.103278,9.298807,-20.307708,-3.047296,0.028082
0.020000,7.534730,9.030120,7.281108,8.891495,-20.365621,-2.895676,0.034414
0.020000,7.704273,9.036478,7.450770,8.483085,-20.420496,-2.743715,0.040574
0.020000,7.865593,9.043508,7.612243,8.073644,-20.472053,-2.577876,0.046542
0.020000,8.018670,9.051078,7.765507,7.663227,-20.520832,-2.438930,0.052301
0.020000,8.163488,9.059060,7.910545,7.251904,-20.566153,-2.266064,0.057835
0.020000,8.300033,9.067328,8.047340,6.839727,-20.608880,-2.136346,0.063127
0.020000,8.428291,9.075759,8.175875,6.426763,-20.648188,-1.965380,0.068165
0.020000,8.548253,9.084235,8.296136,6.013069,-20.684714,-1.826314,0.072933
0.020000,8.659911,9.092645,8.408110,5.598701,-20.718367,-1.682664,0.077420
0.020000,8.763258,9.100880,8.511785,5.183718,-20.749184,-1.540843,0.081616
0.020000,8.858289,9.108839,8.607148,4.768173,-20.777234,-1.402512,0.085509
0.020000,8.945000,9.116428,8.694191,4.352118,-20.802770,-1.276783,0.089090
0.020000,9.023388,9.123559,8.772903,3.935605,-20.825642,-1.143586,0.092351
0.020000,9.093452,9.130152,8.843277,3.518689,-20.845806,-1.008220,0.095285
0.020000,9.155191,9.136133,8.905305,3.101407,-20.864083,-0.913828,0.097886
0.020000,9.208605,9.141439,8.958981,2.683816,-20.879529,-0.772329,0.100146
0.020000,9.253693,9.146013,9.004300,2.265959,-20.892884,-0.667723,0.102063
0.020000,9.290455,9.149808,9.041258,1.847876,-20.904126,-0.562122,0.103631
0.020000,9.318892,9.152783,9.069850,1.429613,-20.913187,-0.453061,0.104847
0.020000,9.339074,9.154915,9.090144,1.014723,-20.744457,8.436492,0.105712
0.020000,9.351904,9.156280,9.103047,0.645110,-18.480686,113.188574,0.106262
0.020000,9.359046,9.157043,9.110230,0.359153,-14.297818,209.143407,0.106569
0.020000,9.362166,9.157377,9.113368,0.156897,-10.112814,209.250212,0.106703
0.020000,9.362929,9.157459,9.114135,0.038347,-5.927519,209.264753,0.106736
0.020000,9.362929,9.157459,9.114135,0.000000,-1.917332,200.509318,0.106736
